linha,coluna,valor,motivo
299,data_emissao_recebimento,,Data inválida — ignorada
299,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
300,data_emissao_recebimento,,Data inválida — ignorada
301,data_emissao_recebimento,,Data inválida — ignorada
302,vencimento,15DFM,Data inválida — ignorada
302,data_emissao_recebimento,,Data inválida — ignorada
303,vencimento,C/APRES,Data inválida — ignorada
303,data_emissao_recebimento,,Data inválida — ignorada
304,data_emissao_recebimento,,Data inválida — ignorada
305,data_emissao_recebimento,,Data inválida — ignorada
306,vencimento,Projeto,Data inválida — ignorada
306,data_emissao_recebimento,,Data inválida — ignorada
307,vencimento,Projeto,Data inválida — ignorada
307,data_emissao_recebimento,,Data inválida — ignorada
308,data_emissao_recebimento,,Data inválida — ignorada
309,data_emissao_recebimento,,Data inválida — ignorada
310,data_emissao_recebimento,,Data inválida — ignorada
311,data_emissao_recebimento,,Data inválida — ignorada
312,vencimento,C/APRES,Data inválida — ignorada
312,data_emissao_recebimento,,Data inválida — ignorada
313,vencimento,BONIFICADO,Data inválida — ignorada
313,data_emissao_recebimento,,Data inválida — ignorada
314,data_emissao_recebimento,,Data inválida — ignorada
315,vencimento,C/APRES,Data inválida — ignorada
315,data_emissao_recebimento,,Data inválida — ignorada
316,data_emissao_recebimento,,Data inválida — ignorada
317,data_emissao_recebimento,,Data inválida — ignorada
318,data_emissao_recebimento,,Data inválida — ignorada
319,data_emissao_recebimento,,Data inválida — ignorada
320,vencimento,C/APRES,Data inválida — ignorada
320,data_emissao_recebimento,,Data inválida — ignorada
321,data_emissao_recebimento,,Data inválida — ignorada
322,data_emissao_recebimento,,Data inválida — ignorada
323,data_emissao_recebimento,,Data inválida — ignorada
324,data_emissao_recebimento,,Data inválida — ignorada
325,data_emissao_recebimento,,Data inválida — ignorada
326,data_emissao_recebimento,,Data inválida — ignorada
327,data_final_veiculacao,99/99/9999,Data inválida — ignorada
327,data_emissao_recebimento,,Data inválida — ignorada
327,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
328,vencimento,C/APRES,Data inválida — ignorada
328,data_emissao_recebimento,,Data inválida — ignorada
329,data_emissao_recebimento,,Data inválida — ignorada
330,data_emissao_recebimento,,Data inválida — ignorada
331,data_emissao_recebimento,,Data inválida — ignorada
332,data_emissao_recebimento,,Data inválida — ignorada
333,data_emissao_recebimento,,Data inválida — ignorada
334,data_emissao_recebimento,,Data inválida — ignorada
335,vencimento,15DFM,Data inválida — ignorada
335,data_emissao_recebimento,,Data inválida — ignorada
336,vencimento,15DFM,Data inválida — ignorada
336,data_emissao_recebimento,,Data inválida — ignorada
337,vencimento,15DFM,Data inválida — ignorada
337,data_emissao_recebimento,,Data inválida — ignorada
338,data_emissao_recebimento,,Data inválida — ignorada
339,data_emissao_recebimento,,Data inválida — ignorada
340,data_emissao_recebimento,,Data inválida — ignorada
341,data_emissao_recebimento,,Data inválida — ignorada
342,data_emissao_recebimento,,Data inválida — ignorada
343,data_emissao_recebimento,,Data inválida — ignorada
344,data_emissao_recebimento,,Data inválida — ignorada
345,data_emissao_recebimento,,Data inválida — ignorada
346,vencimento,Projeto,Data inválida — ignorada
346,data_emissao_recebimento,,Data inválida — ignorada
347,vencimento,Projeto,Data inválida — ignorada
347,data_emissao_recebimento,,Data inválida — ignorada
348,data_emissao_recebimento,,Data inválida — ignorada
349,data_emissao_recebimento,,Data inválida — ignorada
350,data_emissao_recebimento,,Data inválida — ignorada
351,data_emissao_recebimento,,Data inválida — ignorada
352,data_emissao_recebimento,,Data inválida — ignorada
353,data_emissao_recebimento,,Data inválida — ignorada
354,data_final_veiculacao,99/99/9999,Data inválida — ignorada
354,data_emissao_recebimento,,Data inválida — ignorada
354,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
355,data_emissao_recebimento,,Data inválida — ignorada
356,data_emissao_recebimento,,Data inválida — ignorada
357,data_emissao_recebimento,,Data inválida — ignorada
358,vencimento,C/APRES,Data inválida — ignorada
358,data_emissao_recebimento,,Data inválida — ignorada
359,vencimento,C/APRES,Data inválida — ignorada
